0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:42 +0200] "GET /syncope-enduser/app/js/services/groupService.js HTTP/1.1" 200 2106
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:42 +0200] "GET /syncope-enduser/app/js/controllers/OIDCClientController.js HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:42 +0200] "GET /syncope-enduser/app/js/controllers/SAML2SPController.js HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/controllers/UserController.js HTTP/1.1" 200 27875
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/dynamicPlainAttributes.js HTTP/1.1" 200 3423
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/dynamicDerivedAttributes.js HTTP/1.1" 200 3272
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/controllers/HomeController.js HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/dynamicDerivedAttribute.js HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/dynamicVirtualAttributes.js HTTP/1.1" 200 3035
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/controllers/AccessibilityController.js HTTP/1.1" 200 2818
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/dynamicPlainAttribute.js HTTP/1.1" 200 7420
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/requests.js HTTP/1.1" 200 8056
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/dynamicVirtualAttribute.js HTTP/1.1" 200 3192
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/resources.js HTTP/1.1" 200 1841
0:0:0:0:0:0:0:1 - - [14/Sep/2023:23:38:43 +0200] "GET /syncope-enduser/app/js/directives/auxClasses.js HTTP/1.1" 200 2156
